2023-09-08 14:44:34 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 14:50:26 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:00:15 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:07:49 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:19:06 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:35:50 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:39:09 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:39:20 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:42:55 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:43:17 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 15:45:37 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:00:01 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:00:07 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:09:10 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:16:20 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:18:58 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:23:33 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:25:32 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:26:47 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:29:23 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:36:29 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:39:26 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:41:24 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:46:27 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:47:19 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:47:43 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 16:57:37 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 17:06:47 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 17:22:06 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 17:26:31 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-09-08 17:29:38 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
