2023-08-26 14:40:18 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 14:55:16 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 14:56:17 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 14:56:54 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 14:57:40 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:00:19 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:01:12 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:01:38 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:02:25 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:02:56 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:06:22 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:06:39 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:06:53 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:07:11 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:07:45 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:09:25 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:09:37 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:19:23 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:19:37 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:20:22 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:22:14 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:25:24 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:26:41 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:26:55 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:27:06 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:27:28 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:28:35 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:28:48 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:29:01 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:29:13 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:29:28 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:30:27 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:30:33 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:30:45 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:31:31 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:39:05 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:41:54 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:50:12 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:52:00 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 15:53:58 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 16:15:16 info [index.js]: server listening on http://localhost:3001 [env, port] = [development, 3001]
2023-08-26 16:15:39 info [index.js]: server listening on http://localhost:3001 [env, port] = [production, 3001]
